clientid,sexid
521,0.4570203900127788
537,0.8948599719643084
541,0.6765342170768901
553,0.7753657823543059
570,0.8995787046792921
591,0.8974398913243705
592,0.6391832961970534
599,0.3746128451788082
605,0.6070112922739234
629,0.7142865394123655
667,0.5343115759103605
694,0.4943186384754693
697,0.10094177032687274
700,0.4474097750884434
701,0.10830018932071139
706,0.36353638825882384
710,0.26445812690902
711,0.20799703797117342
712,0.5036207042484103
713,0.21019968274461054
715,0.09731789507046527
716,0.17135625778739183
720,0.007578774667641005
723,0.8406257420895984
729,0.36157892262348057
739,0.00892160741341139
742,0.8240146493199337
745,0.003467487018625457
746,0.0074234070294388905
748,0.000816944539288551
749,0.3080149009217478
757,0.008639839975065905
764,0.01158391941388205
766,0.00033005217851172494
772,0.9974469798727332
780,0.6527386405409507
794,0.9941623507621962
823,0.37456186044209283
840,0.7922424559000577
847,0.6583395539821142
865,0.049408266735891826
866,0.1284276104063997
876,0.0015090501192670297
879,0.12511389367100428
882,0.0257611523227487
883,0.061014285107183416
884,0.23062952718148355
890,0.14706897325855658
891,0.01814600992709962
892,0.03352439935630741
896,0.1724005033349013
899,0.02375420600568212
906,0.12104529399404103
907,0.26520415412327936
911,0.5540410466422986
914,0.9199423843664594
917,0.6598220768989393
942,0.11419108315045248
968,0.01928055689142937
981,0.5831447818043224
987,0.7413267095672792
1004,0.9965014675654444
1026,0.9916551696586002
1027,0.4936077996234898
1051,0.9770263556719501
1065,0.6510655711820319
1073,0.8812231387468684
1076,0.9233055818820063
1079,0.9812260354640665
1083,0.9831285255001907
1130,0.4548649944002257
1136,0.9911305397270149
1139,0.9960644203715541
1155,0.7642497075339272
1176,0.9827299233864035
1180,0.9904934837324071
1185,0.9696384857042187
1190,0.10686080146743972
1191,0.3576302057374476
1209,0.20985697270195894
1213,0.05492815459259649
1222,0.08518850477283484
1227,0.3040545912118326
1229,0.6874231161361476
1240,0.0552989688333011
1244,0.3292837193330994
1245,0.9547478331182866
1250,0.753055149945188
1252,0.3803270878554148
1255,0.8289928893136801
1264,0.04041017045514088
1297,0.7540706992705641
1301,0.9656657575878332
1306,0.23767928331805208
